Team_ID,Team_Abv,Team_Name
1,NJD,Devils
2,NYI,Islanders
3,NYR,Rangers
4,PHI,Flyers
5,PIT,Penguins
6,BOS,Bruins
7,BUF,Sabres
8,MTL,Canadiens
9,OTT,Senators
10,TOR,Maple Leafs
12,CAR,Hurricanes
13,FLA,Panthers
14,TBL,Lightning
15,WSH,Capitals
16,CHI,Blackhawks
17,DET,Red Wings
18,NSH,Predators
19,STL,Blues
20,CGY,Flames
21,COL,Avalanche
22,EDM,Oilers
23,VAN,Canucks
24,ANA,Ducks
25,DAL,Stars
26,LAK,Kings
28,SJS,Sharks
29,CBJ,Blue Jackets
30,MIN,Wild
52,WPG,Jets
53,ARI,Coyotes
54,VGK,Golden Knights
55,SEA,Kraken
